2024-06-18 23:50:58,060 ib_async.client INFO Connecting to 192.168.1.36:4001 with clientId 35...
2024-06-18 23:50:58,065 ib_async.client INFO Connected
2024-06-18 23:50:58,070 ib_async.client INFO Logged on to server version 176
2024-06-18 23:50:58,074 ib_async.wrapper INFO Warning 2104, reqId -1: Market data farm connection is OK:usfuture
2024-06-18 23:50:58,076 ib_async.wrapper INFO Warning 2104, reqId -1: Market data farm connection is OK:usfarm
2024-06-18 23:50:58,076 ib_async.wrapper INFO Warning 2106, reqId -1: HMDS data farm connection is OK:ushmds
2024-06-18 23:50:58,077 ib_async.wrapper INFO Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefil
2024-06-18 23:50:58,078 ib_async.client INFO API connection ready
2024-06-18 23:50:58,090 ib_async.wrapper INFO position: Position(account='U2340948', contract=Stock(conId=4762, symbol='BA', exchange='NYSE', currency='USD', localSymbol='BA', tradingClass='BA'), position=254.0, avgCost=203.21112205)
2024-06-18 23:50:58,135 ib_async.wrapper INFO position: Position(account='U10394496', contract=Option(conId=637079300, symbol='HYG', lastTradeDateOrContractMonth='20240621', strike=73.0, right='P', multiplier='100', currency='USD', localSymbol='HYG   240621P00073000', tradingClass='HYG'), position=50.0, avgCost=12.44685)
2024-06-18 23:50:58,137 ib_async.wrapper INFO position: Position(account='U10394496', contract=Future(conId=637533450, symbol='NQ', lastTradeDateOrContractMonth='20240920', multiplier='20', currency='USD', localSymbol='NQU4', tradingClass='NQ'), position=0.0, avgCost=0.0)
2024-06-18 23:50:58,141 ib_async.wrapper INFO position: Position(account='U10394496', contract=Option(conId=682464155, symbol='NVDA', lastTradeDateOrContractMonth='20240621', strike=132.0, right='C', multiplier='100', currency='USD', localSymbol='NVDA  240621C00132000', tradingClass='NVDA'), position=-2.0, avgCost=205.29465)
2024-06-18 23:50:58,144 ib_async.wrapper INFO position: Position(account='U10394496', contract=Option(conId=682674010, symbol='AAPL', lastTradeDateOrContractMonth='20241018', strike=150.0, right='P', multiplier='100', currency='USD', localSymbol='AAPL  241018P00150000', tradingClass='AAPL'), position=4.0, avgCost=182.19685)
2024-06-18 23:50:58,146 ib_async.wrapper INFO position: Position(account='U10394496', contract=Option(conId=657576926, symbol='QQQ', lastTradeDateOrContractMonth='20240930', strike=376.78, right='P', multiplier='100', currency='USD', localSymbol='QQQ   240930P00376780', tradingClass='QQQ'), position=1.0, avgCost=501.0369)
2024-06-18 23:50:58,149 ib_async.wrapper INFO position: Position(account='U10394496', contract=Option(conId=669333316, symbol='NVDA', lastTradeDateOrContractMonth='20240719', strike=55.5, right='P', multiplier='100', currency='USD', localSymbol='NVDA  240719P00055500', tradingClass='NVDA'), position=20.0, avgCost=34.94231)
2024-06-18 23:50:58,151 ib_async.wrapper INFO position: Position(account='U10394496', contract=Option(conId=613471094, symbol='GOOGL', lastTradeDateOrContractMonth='20240920', strike=120.0, right='P', multiplier='100', currency='USD', localSymbol='GOOGL 240920P00120000', tradingClass='GOOGL'), position=10.0, avgCost=51.44685)
2024-06-18 23:50:58,155 ib_async.wrapper INFO position: Position(account='U10394496', contract=Option(conId=699061747, symbol='NVDA', lastTradeDateOrContractMonth='20240719', strike=85.5, right='P', multiplier='100', currency='USD', localSymbol='NVDA  240719P00085500', tradingClass='NVDA'), position=10.0, avgCost=59.30469)
2024-06-18 23:50:58,159 ib_async.wrapper INFO position: Position(account='U2340948', contract=Stock(conId=47486780, symbol='EDV', exchange='ARCA', currency='USD', localSymbol='EDV', tradingClass='EDV'), position=650.0, avgCost=77.7080769)
2024-06-18 23:50:58,161 ib_async.wrapper INFO position: Position(account='U10394496', contract=Option(conId=642744523, symbol='NVDA', lastTradeDateOrContractMonth='20240920', strike=51.0, right='P', multiplier='100', currency='USD', localSymbol='NVDA  240920P00051000', tradingClass='NVDA'), position=10.0, avgCost=50.10369)
2024-06-18 23:50:58,164 ib_async.wrapper INFO position: Position(account='U10394496', contract=Option(conId=682677111, symbol='AMZN', lastTradeDateOrContractMonth='20241018', strike=130.0, right='P', multiplier='100', currency='USD', localSymbol='AMZN  241018P00130000', tradingClass='AMZN'), position=4.0, avgCost=115.68685)
2024-06-18 23:50:58,168 ib_async.wrapper INFO position: Position(account='U2340948', contract=Stock(conId=229726228, symbol='RSX', exchange='VALUE', currency='USD', localSymbol='RSX', tradingClass='RSX'), position=100.0, avgCost=6.889977)
2024-06-18 23:50:58,490 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670bbdd.01.01', time=datetime.datetime(2024, 6, 18, 7, 37, 9, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20209.5, permId=519105879, clientId=24, orderId=1484, liquidation=0, cumQty=1.0, avgPrice=20209.5, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,495 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670c60c.01.01', time=datetime.datetime(2024, 6, 18, 12, 9, 51, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20230.0, permId=1466886073, clientId=0, orderId=0, liquidation=0, cumQty=1.0, avgPrice=20230.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,520 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670c67a.01.01', time=datetime.datetime(2024, 6, 18, 12, 20, 18, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20233.0, permId=1466886074, clientId=0, orderId=0, liquidation=0, cumQty=1.0, avgPrice=20233.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,526 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670c70c.01.01', time=datetime.datetime(2024, 6, 18, 12, 29, 9, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20230.0, permId=1716444679, clientId=0, orderId=0, liquidation=0, cumQty=1.0, avgPrice=20230.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,535 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670c718.01.01', time=datetime.datetime(2024, 6, 18, 12, 29, 28, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20233.0, permId=1716444680, clientId=0, orderId=0, liquidation=0, cumQty=1.0, avgPrice=20233.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,536 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670c92c.01.01', time=datetime.datetime(2024, 6, 18, 12, 32, 45, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20230.0, permId=1387191662, clientId=0, orderId=0, liquidation=0, cumQty=1.0, avgPrice=20230.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,539 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670cefa.01.01', time=datetime.datetime(2024, 6, 18, 13, 16, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20205.0, permId=2039552604, clientId=0, orderId=0, liquidation=0, cumQty=1.0, avgPrice=20205.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,546 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670cf1e.01.01', time=datetime.datetime(2024, 6, 18, 13, 16, 59, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20200.0, permId=2039552605, clientId=0, orderId=0, liquidation=0, cumQty=1.0, avgPrice=20200.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,550 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670cf21.01.01', time=datetime.datetime(2024, 6, 18, 13, 17, 6, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20200.25, permId=530653741, clientId=0, orderId=0, liquidation=0, cumQty=1.0, avgPrice=20200.25, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2, pendingPriceRevision=False)
2024-06-18 23:50:58,555 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670d045.01.01', time=datetime.datetime(2024, 6, 18, 13, 29, 18, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='BOT', shares=1.0, price=20195.0, permId=530653742, clientId=0, orderId=0, liquidation=0, cumQty=1.0, avgPrice=20195.0, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=1, pendingPriceRevision=False)
2024-06-18 23:50:58,562 ib_async.wrapper INFO execDetails Execution(execId='0000d94c.6670d385.01.01', time=datetime.datetime(2024, 6, 18, 13, 33, 35, tzinfo=datetime.timezone.utc), acctNumber='U10394496', exchange='CME', side='SLD', shares=1.0, price=20204.75, permId=142680144, clientId=0, orderId=0, liquidation=0, cumQty=1.0, avgPrice=20204.75, orderRef='', evRule='', evMultiplier=0.0, modelCode='', lastLiquidity=2, pendingPriceRevision=False)
